genes	se_fe_4dp	estimate_fe_4dp	foldc_fe_2dp	upperl_fe_2dp	lowerl_fe_2dp	pval_fe_3sig
MAPKBP1	0.0215	-0.0079	-1.01	1.02	-1.04	0.714
MAPRE1	0.0153	0.0203	1.01	1.04	-1.01	0.184
MAPRE2	0.0259	-0.0068	-1.00	1.03	-1.04	0.792
MAPRE3	0.0192	-0.0248	-1.02	1.01	-1.04	0.198
MAPT	0.0271	0.0093	1.01	1.04	-1.03	0.732
MARC1	0.0157	0.0065	1.00	1.03	-1.02	0.681
MARC2	0.0203	0.0500	1.04	1.06	1.01	0.0142
MARCH2	0.0396	0.0983	1.07	1.13	1.01	0.0137
MARCH3	0.0200	0.0340	1.02	1.05	-1.00	0.0908
MARCH5	0.0222	-0.0015	-1.00	1.03	-1.03	0.945
MARCH6	0.0269	0.0467	1.03	1.07	-1.00	0.0843
MARCH7	0.0209	0.0249	1.02	1.05	-1.01	0.235
MARCKS	0.0277	-0.0425	-1.03	1.01	-1.07	0.126
MARCKSL1	0.0277	0.0103	1.01	1.05	-1.03	0.71
MARCO	0.0187	-0.0314	-1.02	1.00	-1.05	0.0955
MARK1	0.0215	-0.0024	-1.00	1.03	-1.03	0.911
MARK2	0.0240	-0.0078	-1.01	1.03	-1.04	0.746
MARK3	0.0217	-0.0039	-1.00	1.03	-1.03	0.857
MARK4	0.0164	0.0186	1.01	1.04	-1.01	0.259
MARS	0.0209	0.0133	1.01	1.04	-1.02	0.527
MAS1	0.0150	-0.0116	-1.01	1.01	-1.03	0.442
MASP1	0.0163	0.0142	1.01	1.03	-1.01	0.384
MAST1	0.0242	0.0522	1.04	1.07	1.00	0.032
MAST2	0.0170	-0.0008	-1.00	1.02	-1.02	0.96
MAST3	0.0259	0.0166	1.01	1.05	-1.02	0.521
MAST4	0.0171	0.0062	1.00	1.03	-1.02	0.718
MAT1A	0.0128	-0.0208	-1.01	1.00	-1.03	0.106
MAT2A	0.0245	0.0052	1.00	1.04	-1.03	0.833
MAT2B	0.0188	-0.0116	-1.01	1.02	-1.03	0.539
MATK	0.0177	-0.0226	-1.02	1.01	-1.04	0.202
MATN1	0.0154	-0.0058	-1.00	1.02	-1.03	0.707
MATN2	0.0312	-0.0516	-1.04	1.01	-1.08	0.0985
MATR3	0.0155	0.0220	1.02	1.04	-1.01	0.156
MAU2	0.0159	-0.0296	-1.02	1.00	-1.04	0.0633
MAVS	0.0430	-0.0322	-1.02	1.04	-1.08	0.455
MAX	0.0222	0.0220	1.02	1.05	-1.01	0.321
MAZ	0.0157	-0.0044	-1.00	1.02	-1.02	0.782
MB	0.0170	0.0017	1.00	1.02	-1.02	0.923
MBD1	0.0139	-0.0019	-1.00	1.02	-1.02	0.893
MBD3	0.0154	-0.0257	-1.02	1.00	-1.04	0.0964
MBD4	0.0163	-0.0025	-1.00	1.02	-1.02	0.879
MBNL1	0.0182	-0.0070	-1.00	1.02	-1.03	0.701
MBNL2	0.0202	-0.0209	-1.01	1.01	-1.04	0.301
MBOAT7	0.0161	0.0177	1.01	1.03	-1.01	0.273
MBP	0.0236	-0.0074	-1.01	1.03	-1.04	0.756
MBTPS1	0.0211	0.0191	1.01	1.04	-1.02	0.365
MBTPS2	0.0156	-0.0215	-1.02	1.01	-1.04	0.168
MC1R	0.0144	0.0065	1.00	1.02	-1.02	0.654
MCAM	0.0392	-0.0843	-1.06	-1.01	-1.12	0.0322
MCAT	0.0197	-0.0374	-1.03	1.00	-1.05	0.058
MCC	0.0210	0.0439	1.03	1.06	1.00	0.0376
MCCC1	0.0163	-0.0226	-1.02	1.01	-1.04	0.167
MCCC2	0.0152	0.0379	1.03	1.05	1.01	0.0135
MCF2	0.0332	0.0531	1.04	1.09	-1.01	0.11
MCF2L	0.0249	-0.0252	-1.02	1.02	-1.05	0.311
MCFD2	0.0288	0.0505	1.04	1.08	-1.00	0.0807
MCHR1	0.0206	-0.0430	-1.03	-1.00	-1.06	0.0375
MCL1	0.0312	0.0183	1.01	1.06	-1.03	0.558
MCM2	0.0192	0.0146	1.01	1.04	-1.02	0.45
MCM3	0.0223	0.0390	1.03	1.06	-1.00	0.0808
MCM3AP	0.0160	-0.0004	-1.00	1.02	-1.02	0.982
MCM4	0.0200	0.0413	1.03	1.06	1.00	0.0396
MCM5	0.0360	-0.0293	-1.02	1.03	-1.07	0.416
MCM6	0.0265	0.1012	1.07	1.11	1.03	0.000169
MCM7	0.0226	-0.0517	-1.04	-1.01	-1.07	0.0228
MCMBP	0.0240	-0.0025	-1.00	1.03	-1.03	0.916
MCOLN1	0.0225	-0.0507	-1.04	-1.00	-1.07	0.0253
MCPH1	0.0376	-0.0171	-1.01	1.04	-1.07	0.651
MCRS1	0.0174	-0.0233	-1.02	1.01	-1.04	0.181
MCTP1	0.1335	-0.0096	-1.01	1.19	-1.21	0.943
MCTS1	0.0219	-0.0255	-1.02	1.01	-1.05	0.246
MDC1	0.0225	0.0636	1.05	1.08	1.01	0.00491
MDFI	0.0163	0.0329	1.02	1.05	1.00	0.0452
MDFIC	0.0218	-0.0017	-1.00	1.03	-1.03	0.939
MDH1	0.0192	-0.0185	-1.01	1.01	-1.04	0.337
MDH2	0.0207	-0.0037	-1.00	1.03	-1.03	0.858
MDK	0.0256	0.0335	1.02	1.06	-1.01	0.191
MDM1	0.0224	0.0374	1.03	1.06	-1.00	0.0969
ME1	0.0311	0.0344	1.02	1.07	-1.02	0.269
ME2	0.0184	-0.0015	-1.00	1.02	-1.03	0.934
ME3	0.0202	0.0236	1.02	1.04	-1.01	0.245
MEA1	0.0164	-0.0257	-1.02	1.00	-1.04	0.12
MEAF6	0.0183	-0.0498	-1.04	-1.01	-1.06	0.00703
MECOM	0.0419	-0.0831	-1.06	-1.00	-1.12	0.0485
MECP2	0.0201	-0.0044	-1.00	1.02	-1.03	0.825
MECR	0.0179	-0.0031	-1.00	1.02	-1.03	0.861
MED1	0.0259	0.0123	1.01	1.04	-1.03	0.636
MED12	0.0178	-0.0166	-1.01	1.01	-1.04	0.35
MED13	0.0229	0.0435	1.03	1.06	-1.00	0.0581
MED13L	0.0192	0.0394	1.03	1.05	1.00	0.0411
MED15	0.0155	-0.0003	-1.00	1.02	-1.02	0.985
MED16	0.0209	-0.0118	-1.01	1.02	-1.04	0.574
MED17	0.0222	0.0188	1.01	1.04	-1.02	0.397
MED20	0.0214	-0.0176	-1.01	1.02	-1.04	0.413
MED21	0.0252	0.0161	1.01	1.05	-1.02	0.524
MED22	0.0161	-0.0045	-1.00	1.02	-1.03	0.781
MED23	0.0191	0.0022	1.00	1.03	-1.02	0.909
MED24	0.0272	-0.0368	-1.03	1.01	-1.06	0.177
MED25	0.0172	0.0160	1.01	1.04	-1.01	0.355
MED27	0.0164	0.0160	1.01	1.03	-1.01	0.331
MED28	0.0206	-0.0157	-1.01	1.02	-1.04	0.446
MED4	0.0226	0.0185	1.01	1.04	-1.02	0.413
MED6	0.0204	0.0064	1.00	1.03	-1.02	0.752
MED8	0.0181	-0.0075	-1.01	1.02	-1.03	0.681
MED9	0.0148	0.0515	1.04	1.06	1.02	0.000568
MEF2A	0.0219	0.0151	1.01	1.04	-1.02	0.49
MEF2BNB	0.0252	0.0172	1.01	1.05	-1.02	0.495
MEF2C	0.0262	0.0408	1.03	1.07	-1.01	0.12
MEF2D	0.0155	-0.0084	-1.01	1.02	-1.03	0.588
MEFV	0.0221	0.0038	1.00	1.03	-1.03	0.863
MEG3	0.0383	0.0300	1.02	1.08	-1.03	0.434
MEGF6	0.0163	0.0114	1.01	1.03	-1.01	0.483
MEGF8	0.0266	0.0130	1.01	1.05	-1.03	0.626
MEGF9	0.0184	0.0205	1.01	1.04	-1.01	0.267
MEIS1	0.0251	0.0079	1.01	1.04	-1.03	0.754
MEIS2	0.0225	0.0370	1.03	1.06	-1.00	0.102
MEMO1	0.0206	-0.0210	-1.01	1.01	-1.04	0.308
MEN1	0.0203	0.0154	1.01	1.04	-1.02	0.45
MEPCE	0.0194	-0.0287	-1.02	1.01	-1.05	0.14
MEPE	0.0213	0.0631	1.04	1.08	1.01	0.00325
MERTK	0.0333	0.0576	1.04	1.09	-1.01	0.0847
MEST	0.0476	-0.0240	-1.02	1.05	-1.08	0.615
MET	0.0438	-0.0169	-1.01	1.05	-1.07	0.699
METAP1	0.0151	-0.0236	-1.02	1.00	-1.04	0.117
METRN	0.0277	0.0361	1.03	1.06	-1.01	0.192
METTL1	0.0169	-0.0134	-1.01	1.01	-1.03	0.427
METTL13	0.0231	-0.0484	-1.03	-1.00	-1.07	0.0369
METTL17	0.0180	0.0030	1.00	1.03	-1.02	0.866
METTL18	0.0291	0.0035	1.00	1.04	-1.04	0.904
METTL21B	0.0170	0.0181	1.01	1.04	-1.01	0.287
METTL21D	0.0285	0.0347	1.02	1.06	-1.01	0.224
METTL22	0.0211	0.0108	1.01	1.04	-1.02	0.609
METTL3	0.0249	0.0007	1.00	1.03	-1.03	0.977
METTL4	0.0430	-0.0477	-1.03	1.03	-1.10	0.27
METTL5	0.0182	0.0038	1.00	1.03	-1.02	0.835
METTL7A	0.0500	0.0839	1.06	1.13	-1.01	0.0946
METTL9	0.0211	0.0133	1.01	1.04	-1.02	0.53
MEX3C	0.0196	0.0142	1.01	1.04	-1.02	0.471
MEX3D	0.0405	-0.0327	-1.02	1.03	-1.08	0.421
MFAP1	0.0169	-0.0082	-1.01	1.02	-1.03	0.628
MFAP2	0.0187	-0.0206	-1.01	1.01	-1.04	0.271
MFAP3	0.0213	0.0581	1.04	1.07	1.01	0.00668
MFAP3L	0.0364	-0.0345	-1.02	1.03	-1.08	0.344
MFAP4	0.0192	-0.0185	-1.01	1.01	-1.04	0.336
MFF	0.0206	0.0091	1.01	1.03	-1.02	0.659
MFGE8	0.0207	-0.0247	-1.02	1.01	-1.05	0.233
MFHAS1	0.0460	-0.0226	-1.02	1.05	-1.08	0.623
MFN1	0.0230	0.0098	1.01	1.04	-1.02	0.67
MFN2	0.0163	-0.0114	-1.01	1.01	-1.03	0.488
MFNG	0.0201	-0.0194	-1.01	1.01	-1.04	0.334
MFSD1	0.0251	-0.0637	-1.05	-1.01	-1.08	0.0119
MFSD10	0.0181	0.0296	1.02	1.05	-1.00	0.103
MFSD11	0.0204	-0.0213	-1.01	1.01	-1.04	0.298
MFSD12	0.0223	-0.0230	-1.02	1.01	-1.05	0.305
MFSD5	0.0196	-0.0294	-1.02	1.01	-1.05	0.134
MFSD7	0.0368	0.0280	1.02	1.07	-1.03	0.447
MGA	0.0220	0.0287	1.02	1.05	-1.01	0.194
MGAT1	0.0122	-0.0010	-1.00	1.02	-1.02	0.935
MGAT2	0.0197	0.0333	1.02	1.05	-1.00	0.092
MGAT3	0.0167	0.0136	1.01	1.03	-1.01	0.416
MGAT4B	0.0199	-0.0397	-1.03	-1.00	-1.06	0.0474
MGAT5	0.0143	-0.0065	-1.00	1.02	-1.02	0.65
MGC2752	0.0244	0.0040	1.00	1.04	-1.03	0.869
MGC2889	0.0299	0.0342	1.02	1.07	-1.02	0.255
MGC4294	0.0211	0.0274	1.02	1.05	-1.01	0.196
MGEA5	0.0281	0.0734	1.05	1.09	1.01	0.00945
MGLL	0.0341	-0.0116	-1.01	1.04	-1.06	0.733
MGMT	0.0231	-0.0005	-1.00	1.03	-1.03	0.983
MGP	0.0811	-0.0228	-1.02	1.10	-1.13	0.779
MGRN1	0.0178	-0.0144	-1.01	1.01	-1.03	0.418
MGST2	0.0173	-0.0055	-1.00	1.02	-1.03	0.752
MGST3	0.0153	-0.0206	-1.01	1.01	-1.04	0.178
MIA	0.0135	-0.0013	-1.00	1.02	-1.02	0.924
MIA3	0.0265	0.0129	1.01	1.05	-1.03	0.627
MICA	0.0403	0.0572	1.04	1.10	-1.02	0.158
MICAL1	0.0303	-0.0797	-1.06	-1.01	-1.10	0.0089
MICAL2	0.0241	-0.0082	-1.01	1.03	-1.04	0.734
MICAL3	0.0275	0.0381	1.03	1.07	-1.01	0.167
MICALL1	0.0228	-0.0511	-1.04	-1.00	-1.07	0.0259
MICALL2	0.0212	0.0397	1.03	1.06	-1.00	0.0627
MICU1	0.0174	0.0158	1.01	1.04	-1.01	0.365
MID1	0.0253	0.0726	1.05	1.09	1.02	0.00434
MID1IP1	0.0314	-0.0367	-1.03	1.02	-1.07	0.244
MID2	0.0169	0.0104	1.01	1.03	-1.02	0.541
MIER2	0.0131	-0.0052	-1.00	1.01	-1.02	0.693
MIF	0.0238	-0.0107	-1.01	1.03	-1.04	0.652
MIIP	0.0156	-0.0029	-1.00	1.02	-1.02	0.853
MINA	0.0216	0.0383	1.03	1.06	-1.00	0.078
MINK1	0.0281	0.0009	1.00	1.04	-1.04	0.976
MINPP1	0.0257	0.0529	1.04	1.07	1.00	0.0403
MIOS	0.0170	0.0264	1.02	1.04	-1.00	0.12
MIR22HG	0.0372	-0.0364	-1.03	1.03	-1.08	0.329
MIR568	0.0336	0.0566	1.04	1.09	-1.01	0.093
MIR600HG	0.0197	0.0007	1.00	1.03	-1.03	0.971
MIS12	0.0188	0.0189	1.01	1.04	-1.01	0.315
MIS18A	0.0224	0.0418	1.03	1.06	-1.00	0.0639
MITF	0.0253	-0.0187	-1.01	1.02	-1.05	0.461
MKKS	0.0182	-0.0242	-1.02	1.01	-1.04	0.183
MKL1	0.0189	0.0402	1.03	1.06	1.00	0.0342
MKL2	0.0217	0.0555	1.04	1.07	1.01	0.011
MKLN1	0.0174	0.0055	1.00	1.03	-1.02	0.753
MKNK1	0.0173	0.0298	1.02	1.05	-1.00	0.0868
MKNK2	0.0393	0.0804	1.06	1.12	1.00	0.0416
MKRN1	0.0179	-0.0307	-1.02	1.00	-1.05	0.0876
MKRN2	0.0214	0.0437	1.03	1.06	1.00	0.0427
MKS1	0.0171	0.0243	1.02	1.04	-1.01	0.157
MLC1	0.0456	0.1186	1.09	1.16	1.02	0.00977
MLEC	0.0174	0.0280	1.02	1.04	-1.00	0.108
MLF1	0.0304	0.1031	1.07	1.12	1.03	0.000775
MLF2	0.0193	-0.0148	-1.01	1.02	-1.04	0.446
MLH1	0.0175	-0.0139	-1.01	1.01	-1.03	0.426
MLH3	0.0216	0.0334	1.02	1.05	-1.01	0.123
MLL	0.0196	0.0676	1.05	1.08	1.02	0.000639
MLL4	0.0196	-0.0102	-1.01	1.02	-1.03	0.602
MLLT10	0.0309	0.0276	1.02	1.06	-1.02	0.372
MLLT11	0.0485	0.0098	1.01	1.08	-1.06	0.84
MLN	0.0134	0.0155	1.01	1.03	-1.01	0.246
MLPH	0.0145	0.0089	1.01	1.03	-1.01	0.539
MLST8	0.0194	-0.0119	-1.01	1.02	-1.04	0.54
MLXIP	0.0328	0.0260	1.02	1.06	-1.03	0.43
MLXIPL	0.0163	0.0034	1.00	1.02	-1.02	0.836
MLYCD	0.0184	-0.0089	-1.01	1.02	-1.03	0.63
MMACHC	0.0223	-0.0523	-1.04	-1.01	-1.07	0.0199
MMADHC	0.0233	-0.0776	-1.06	-1.02	-1.09	0.000961
MMD	0.0397	0.0240	1.02	1.07	-1.04	0.546
MME	0.0148	-0.0112	-1.01	1.01	-1.03	0.447
MMP11	0.0127	-0.0065	-1.00	1.01	-1.02	0.612
MMP14	0.0167	-0.0008	-1.00	1.02	-1.02	0.964
MMP15	0.0174	0.0434	1.03	1.06	1.01	0.0134
MMP17	0.0198	-0.0157	-1.01	1.02	-1.04	0.428
MMP19	0.0107	-0.0074	-1.01	1.01	-1.02	0.492
MMP2	0.0157	-0.0304	-1.02	1.00	-1.04	0.0536
MMP24	0.0172	0.0012	1.00	1.02	-1.02	0.947
MMP25	0.0157	-0.0065	-1.00	1.02	-1.03	0.677
MMP9	0.0257	-0.0139	-1.01	1.03	-1.05	0.589
MMRN2	0.0240	-0.0356	-1.02	1.01	-1.06	0.139
MMS19	0.0162	0.0029	1.00	1.02	-1.02	0.858
MN1	0.0342	0.0167	1.01	1.06	-1.04	0.626
MNAT1	0.0170	0.0196	1.01	1.04	-1.01	0.248
MNT	0.0175	-0.0186	-1.01	1.01	-1.04	0.289
MNX1	0.0170	0.0107	1.01	1.03	-1.02	0.529
MOAP1	0.0223	0.0051	1.00	1.03	-1.03	0.818
MOB1A	0.0184	-0.0304	-1.02	1.00	-1.05	0.1
MOB3B	0.0196	-0.0636	-1.05	-1.02	-1.07	0.00128
MOBP	0.0571	-0.0084	-1.01	1.07	-1.09	0.883
MOCS2	0.0316	-0.0224	-1.02	1.03	-1.06	0.48
MOCS3	0.0275	-0.0169	-1.01	1.03	-1.05	0.541
MOG	0.0552	-0.0651	-1.05	1.03	-1.13	0.24
MOGAT2	0.0172	0.0009	1.00	1.02	-1.02	0.956
MOGS	0.0150	-0.0094	-1.01	1.01	-1.03	0.534
MOK	0.0182	0.0103	1.01	1.03	-1.02	0.571
MON1B	0.0197	-0.0035	-1.00	1.02	-1.03	0.86
MORC2	0.0242	0.0202	1.01	1.05	-1.02	0.405
MORC3	0.0221	0.0069	1.00	1.04	-1.03	0.754
MORC4	0.0436	-0.0316	-1.02	1.04	-1.08	0.47
MORF4L1	0.0133	-0.0060	-1.00	1.01	-1.02	0.65
MORF4L2	0.0151	0.0068	1.00	1.03	-1.02	0.655
MORN1	0.0219	0.0172	1.01	1.04	-1.02	0.432
MOSPD1	0.0181	0.0154	1.01	1.04	-1.01	0.396
MOSPD2	0.0252	-0.0744	-1.05	-1.02	-1.09	0.00347
MOSPD3	0.0120	0.0091	1.01	1.02	-1.01	0.45
MOXD1	0.0421	0.0272	1.02	1.08	-1.04	0.518
MPC1	0.0132	-0.0351	-1.02	-1.01	-1.04	0.00837
MPC2	0.0217	-0.0028	-1.00	1.03	-1.03	0.896
MPDU1	0.0146	-0.0330	-1.02	-1.00	-1.04	0.0247
MPDZ	0.0284	-0.0362	-1.03	1.01	-1.07	0.203
MPG	0.0131	0.0044	1.00	1.02	-1.01	0.735
MPHOSPH10	0.0198	-0.0027	-1.00	1.03	-1.03	0.893
MPHOSPH6	0.0178	0.0164	1.01	1.04	-1.01	0.356
MPHOSPH8	0.0375	-0.0161	-1.01	1.04	-1.06	0.667
MPI	0.0260	0.0029	1.00	1.04	-1.03	0.911
MPP1	0.0171	0.0241	1.02	1.04	-1.01	0.158
MPP2	0.0189	0.0137	1.01	1.04	-1.02	0.467
MPP3	0.0176	0.0290	1.02	1.04	-1.00	0.1
MPP5	0.0220	0.0367	1.03	1.06	-1.00	0.0976
MPPE1	0.0167	0.0052	1.00	1.03	-1.02	0.756
MPPED1	0.0201	-0.0146	-1.01	1.02	-1.04	0.467
MPPED2	0.0361	-0.0489	-1.03	1.02	-1.09	0.177
MPRIP	0.0295	0.0104	1.01	1.05	-1.03	0.725
MPST	0.0180	0.0182	1.01	1.04	-1.01	0.313
MPV17	0.0149	-0.0112	-1.01	1.01	-1.03	0.452
MPZ	0.0144	-0.0036	-1.00	1.02	-1.02	0.803
MPZL1	0.0217	-0.0105	-1.01	1.02	-1.04	0.629
MR1	0.0192	0.0376	1.03	1.05	-1.00	0.051
MRAS	0.0200	0.0074	1.01	1.03	-1.02	0.711
MRC1	0.0450	-0.0671	-1.05	1.01	-1.11	0.138
MRC2	0.0147	-0.0434	-1.03	-1.01	-1.05	0.00343
MREG	0.0358	0.0229	1.02	1.07	-1.03	0.523
MRFAP1L1	0.0203	-0.0009	-1.00	1.03	-1.03	0.964
MRM1	0.0156	0.0259	1.02	1.04	-1.00	0.0981
MRP63	0.0191	-0.0067	-1.00	1.02	-1.03	0.724
MRPL11	0.0183	-0.0263	-1.02	1.01	-1.04	0.151
MRPL12	0.0190	-0.0378	-1.03	-1.00	-1.05	0.0476
MRPL13	0.0237	0.0308	1.02	1.06	-1.01	0.195
MRPL15	0.0227	-0.0261	-1.02	1.01	-1.05	0.251
MRPL16	0.0190	-0.0414	-1.03	-1.00	-1.06	0.0298
MRPL17	0.0194	0.0111	1.01	1.03	-1.02	0.567
MRPL18	0.0291	-0.0267	-1.02	1.02	-1.06	0.359
MRPL19	0.0239	-0.0182	-1.01	1.02	-1.05	0.448
MRPL2	0.0173	-0.0593	-1.04	-1.02	-1.07	7e-04
MRPL20	0.0197	-0.0056	-1.00	1.02	-1.03	0.774
MRPL22	0.0221	-0.0121	-1.01	1.02	-1.04	0.582
MRPL23	0.0299	0.0143	1.01	1.05	-1.03	0.634
MRPL24	0.0187	-0.0207	-1.01	1.01	-1.04	0.268
MRPL28	0.0170	-0.0086	-1.01	1.02	-1.03	0.614
MRPL3	0.0198	-0.0476	-1.03	-1.01	-1.06	0.017
MRPL33	0.0215	-0.0329	-1.02	1.01	-1.05	0.127
MRPL34	0.0277	0.0009	1.00	1.04	-1.04	0.975
MRPL35	0.0201	-0.0321	-1.02	1.01	-1.05	0.112
MRPL39	0.0163	-0.0146	-1.01	1.01	-1.03	0.37
MRPL4	0.0159	-0.0304	-1.02	1.00	-1.04	0.0565
MRPL40	0.0211	0.0241	1.02	1.05	-1.01	0.253
MRPL42	0.0173	-0.0074	-1.01	1.02	-1.03	0.67
MRPL46	0.0219	-0.0381	-1.03	1.00	-1.06	0.0828
MRPL48	0.0180	-0.0573	-1.04	-1.02	-1.07	0.00162
MRPL49	0.0159	-0.0075	-1.01	1.02	-1.03	0.639
MRPL9	0.0211	-0.0620	-1.04	-1.01	-1.07	0.00361
MRPS10	0.0165	0.0156	1.01	1.03	-1.01	0.346
MRPS11	0.0158	-0.0143	-1.01	1.01	-1.03	0.366
MRPS12	0.0331	0.0157	1.01	1.06	-1.03	0.635
MRPS14	0.0210	0.0416	1.03	1.06	1.00	0.0484
MRPS15	0.0144	-0.0267	-1.02	1.00	-1.04	0.0639
MRPS16	0.0170	-0.0205	-1.01	1.01	-1.04	0.228
MRPS17	0.0231	-0.0037	-1.00	1.03	-1.03	0.873
MRPS18A	0.0184	0.0112	1.01	1.03	-1.02	0.545
MRPS18B	0.0205	-0.0111	-1.01	1.02	-1.04	0.588
MRPS2	0.0202	0.0145	1.01	1.04	-1.02	0.472
MRPS22	0.0128	-0.0267	-1.02	-1.00	-1.04	0.0382
MRPS27	0.0195	-0.0203	-1.01	1.01	-1.04	0.299
MRPS28	0.0240	-0.0045	-1.00	1.03	-1.04	0.85
MRPS30	0.0207	-0.0508	-1.04	-1.01	-1.07	0.0145
MRPS31	0.0179	0.0175	1.01	1.04	-1.01	0.331
MRPS33	0.0154	-0.0176	-1.01	1.01	-1.03	0.253
MRPS34	0.0136	-0.0077	-1.01	1.01	-1.02	0.573
MRPS35	0.0133	0.0304	1.02	1.04	1.00	0.0235
MRPS7	0.0198	-0.0299	-1.02	1.01	-1.05	0.133
MRS2	0.0179	0.0248	1.02	1.04	-1.01	0.168
MRTO4	0.0301	-0.0175	-1.01	1.03	-1.05	0.563
MS4A1	0.0181	0.0118	1.01	1.03	-1.02	0.516
MS4A5	0.0179	0.0162	1.01	1.04	-1.01	0.364
MS4A6A	0.0360	-0.0847	-1.06	-1.01	-1.11	0.0197
MSANTD2	0.0272	-0.0526	-1.04	1.00	-1.08	0.0538
MSH2	0.0213	0.0078	1.01	1.03	-1.02	0.713
MSH3	0.0351	0.0004	1.00	1.05	-1.05	0.991
MSH6	0.0208	0.0230	1.02	1.05	-1.01	0.27
MSL2	0.0282	-0.0188	-1.01	1.03	-1.05	0.506
MSL3	0.0169	-0.0358	-1.03	-1.00	-1.05	0.0344
MSMO1	0.0455	0.0156	1.01	1.08	-1.05	0.733
MSN	0.0258	0.0289	1.02	1.06	-1.02	0.265
MSRA	0.0177	-0.0225	-1.02	1.01	-1.04	0.205
MSRB1	0.0180	0.0375	1.03	1.05	1.00	0.0385
MSRB2	0.0175	0.0284	1.02	1.04	-1.00	0.107
MST1R	0.0147	-0.0234	-1.02	1.00	-1.04	0.112
MSX1	0.0328	-0.0416	-1.03	1.02	-1.08	0.206
MT1E	0.0537	0.1799	1.13	1.22	1.05	0.000918
MT1F	0.0565	0.0931	1.07	1.15	-1.01	0.1
MT1G	0.0480	0.1311	1.10	1.17	1.03	0.00669
MT1H	0.0531	0.1843	1.14	1.22	1.06	0.00059
MT1X	0.0749	0.2335	1.18	1.30	1.06	0.00199
MT2A	0.0534	0.1630	1.12	1.20	1.04	0.00247
MT3	0.0292	0.0581	1.04	1.08	1.00	0.0478
MTA1	0.0269	-0.0618	-1.04	-1.01	-1.08	0.0222
MTCH1	0.0129	-0.0008	-1.00	1.02	-1.02	0.952
MTCH2	0.0216	-0.0358	-1.03	1.00	-1.06	0.0985
MTCP1NB	0.0211	0.0240	1.02	1.05	-1.01	0.255
MTDH	0.0236	-0.0242	-1.02	1.02	-1.05	0.306
MTERF	0.0240	0.0083	1.01	1.04	-1.03	0.73
MTERFD1	0.0188	-0.0060	-1.00	1.02	-1.03	0.75
MTERFD2	0.0155	0.0001	1.00	1.02	-1.02	0.995
MTF1	0.0168	0.0471	1.03	1.06	1.01	0.00532
MTF2	0.0195	0.0651	1.05	1.07	1.02	0.000933
MTFR1	0.0181	0.0108	1.01	1.03	-1.02	0.553
MTG1	0.0168	0.0247	1.02	1.04	-1.01	0.143
MTHFD1	0.0239	0.0583	1.04	1.08	1.01	0.0152
MTHFD2	0.0454	0.0501	1.04	1.10	-1.03	0.271
MTHFR	0.0156	0.0083	1.01	1.03	-1.02	0.596
MTHFSD	0.0272	0.0233	1.02	1.05	-1.02	0.393
MTIF2	0.0197	-0.0271	-1.02	1.01	-1.05	0.169
MTMR1	0.0172	0.0326	1.02	1.05	-1.00	0.0591
MTMR11	0.0221	0.0597	1.04	1.07	1.01	0.00719
MTMR12	0.0156	0.0313	1.02	1.04	1.00	0.0462
MTMR14	0.0143	0.0158	1.01	1.03	-1.01	0.27
MTMR2	0.0202	-0.0141	-1.01	1.02	-1.04	0.486
MTMR3	0.0160	0.0236	1.02	1.04	-1.01	0.141
MTMR4	0.0167	0.0078	1.01	1.03	-1.02	0.64
MTMR6	0.0255	0.0374	1.03	1.06	-1.01	0.142
MTMR9	0.0183	0.0428	1.03	1.06	1.00	0.0202
MTNR1B	0.0294	-0.0079	-1.01	1.04	-1.05	0.788
MTO1	0.0183	0.0039	1.00	1.03	-1.02	0.83
MTOR	0.0157	-0.0005	-1.00	1.02	-1.02	0.973
MTPAP	0.0325	-0.0140	-1.01	1.04	-1.06	0.667
MTR	0.0220	0.0142	1.01	1.04	-1.02	0.519
MTRR	0.0260	-0.0122	-1.01	1.03	-1.04	0.639
MTSS1	0.0184	0.0059	1.00	1.03	-1.02	0.75
MTSS1L	0.0320	0.0139	1.01	1.05	-1.03	0.665
MTUS1	0.0380	-0.0579	-1.04	1.01	-1.10	0.128
MTUS2	0.0278	0.1045	1.08	1.12	1.04	0.000256
MTX1	0.0133	-0.0210	-1.01	1.00	-1.03	0.116
MTX2	0.0226	-0.0301	-1.02	1.01	-1.05	0.184
MUC1	0.0165	0.0152	1.01	1.03	-1.01	0.36
MUC13	0.0156	-0.0022	-1.00	1.02	-1.02	0.887
MUC2	0.0184	0.0026	1.00	1.03	-1.02	0.887
MUC3A	0.0150	-0.0125	-1.01	1.01	-1.03	0.406
MUC5B	0.0166	0.0190	1.01	1.04	-1.01	0.255
MUC6	0.0141	-0.0119	-1.01	1.01	-1.03	0.401
MUL1	0.0138	-0.0051	-1.00	1.02	-1.02	0.71
MUM1	0.0324	0.0182	1.01	1.06	-1.03	0.575
MUS81	0.0144	-0.0124	-1.01	1.01	-1.03	0.389
MUT	0.0260	0.0169	1.01	1.05	-1.02	0.515
MUTYH	0.0141	0.0005	1.00	1.02	-1.02	0.974
MVD	0.0166	-0.0203	-1.01	1.01	-1.04	0.224
MVK	0.0117	-0.0011	-1.00	1.02	-1.02	0.926
MVP	0.0205	-0.0170	-1.01	1.02	-1.04	0.41
MX1	0.0362	-0.0105	-1.01	1.04	-1.06	0.771
